"","V1","V2","V3"
"1","縣市","年平均發電量 kWh/kWp","年度日平均發電量 kWh/day/kWp"
"2","基隆市","892","2.44"
"3","大台北地區","954","2.61"
"4","桃園市","1010","2.77"
"5","新竹縣市","1040","2.85"
"6","苗栗縣","1143","3.13"
"7","宜蘭縣","918","2.51"
"8","連江縣","1035","2.83"
"9","台中市","1219","3.34"
"10","彰化縣","1311","3.59"
"11","雲林縣","1266","3.47"
"12","南投縣","1180","3.23"
"13","嘉義縣市","1250","3.42"
"14","花蓮縣","848","2.32"
"15","金門縣","1223","3.35"
"16","澎湖縣","1239","3.40"
"17","台南市","1292","3.54"
"18","高雄市","1250","3.42"
"19","屏東縣","1138","3.12"
"20","台東縣","1064","2.91"
