year,100,101,102,103,104
基隆市,,887,,897,329
台北,952,950,989,958,935
桃園,992,962,1058,1058,785
新竹,981,967,1109,1113,1104
苗栗,1080,1077,1197,1209,1172
台中,1277,1233,1237,1205,1262
彰化,1332,1298,1314,1324,1270
南投縣,,1218,,1142,1162
雲林,1281,1263,1284,1269,1321
嘉義,1259,1269,1277,1231,1137
台南,1343,1299,1288,1285,1174
高雄,1299,1296,1263,1204,1298
屏東,1102,1129,1201,1147,1255
宜蘭,949,905,923,931,925
花蓮,868,929,949,767,775
台東,1065,1159,1135,969,1111
金門,,1306,1296,1140,1170
澎湖縣,1310,1207,1233,1271,1052
連江縣,,922,,1148,
